,Easting(m),Northing(m),Elevation(m)
0,477101.625,3957495.5,619.0
1,477764.0,3956803.75,635.0
2,478983.2813,3955760.75,695.0
3,478983.0625,3953164.0,643.0
4,480299.0,3951344.25,761.0
5,480094.125,3949752.5,651.0
6,480066.8125,3948531.75,641.0
7,479646.0938,3947583.0,623.0
8,479350.5313,3946720.25,626.0
9,478661.125,3946170.75,596.0
10,477310.8125,3944686.25,521.0
