,Easting(m),Northing(m),Elevation(m)
0,465651.0,3893705.7188,914.625
1,463870.9414,3895039.125,938.8125
2,462609.6602,3896075.125,962.1875
3,461442.6328,3896817.7813,916.375
4,460098.7852,3897454.3438,874.0
5,458684.2109,3897631.1875,829.0
6,457234.2656,3899116.4687,784.0
