,Easting(m),Northing(m),Elevation(m)
0,582806.7813,3729197.2188,100.0
1,582004.8125,3730261.0,130.0
2,581075.5,3731465.75,117.5
3,580146.1875,3732670.5,105.0
4,579349.6875,3734160.75,99.0
5,578908.2812,3735464.0,97.0
6,578466.875,3736767.25,95.0
7,578230.4062,3737795.0938,97.5
8,577993.9219,3738822.9375,100.0
9,577377.8125,3740512.25,305.0
10,576740.4844,3741601.3281,202.5
11,576103.1563,3742690.4062,100.0
